open,close,high,low,trade_date,change
21.659367096467705,21.63462743245556,21.871317514807444,21.41316970716689,2020-01-01,-2.355372567544439
21.659445113858204,21.64290330566001,21.874035501993752,21.412604523003925,2020-01-02,0.008275873204450335
21.692239524793557,21.676101270870024,21.9072211834277,21.438117772658735,2020-01-03,0.0331979652100145
21.723471339067675,21.703275826769534,21.934409210148488,21.46199271319075,2020-01-04,0.02717455589951001
21.726609162382356,21.70315472439345,21.93046363062181,21.465151333511354,2020-01-05,-0.00012110237608453644
21.701249753606078,21.677635306453066,21.900126505239733,21.448751666249766,2020-01-06,-0.025519417940383704
21.666849594621958,21.644948348079087,21.86819680383628,21.426587739968763,2020-01-07,-0.03268695837397928
21.64140970274661,21.621883238879963,21.853660072679556,21.40913520408262,2020-01-08,-0.023065109199123413
21.627152724605523,21.612470440483484,21.853883831865538,21.39620231412241,2020-01-09,-0.009412798396478905
21.61547672483569,21.611417487633833,21.852789683839998,21.383830304878988,2020-01-10,-0.0010529528496512341
21.602644530614963,21.614864536308232,21.841933893039236,21.37501948666606,2020-01-11,0.0034470486743991557
21.597165814284878,21.624789018677696,21.830916749412893,21.37996588014064,2020-01-12,0.009924482369463306
21.609863435648656,21.64224181282979,21.835656978602767,21.403705426839412,2020-01-13,0.017452794152095663
21.637303453310214,21.658428650826806,21.857063237086376,21.434380017380537,2020-01-14,0.016186837997015147
21.65788140094771,21.656348352389927,21.87380536254157,21.44712388678436,2020-01-15,-0.002080298436879957
21.647891345310335,21.624808079175796,21.859377649312894,21.423742014419307,2020-01-16,-0.03154027321413011
21.603942213350553,21.572169119450432,21.808534665915342,21.37117253240265,2020-01-17,-0.05263895972536403
21.549510028762523,21.52462896246487,21.746774051787444,21.31999998500215,2020-01-18,-0.04754015698556202
21.516975017861334,21.507262944637894,21.711228084491356,21.3013805760914,2020-01-19,-0.017366017826976332
21.519973607977825,21.52317769028129,21.71876585626011,21.32129144208775,2020-01-20,0.015914745643396344
21.54145131368669,21.54990993908068,21.750674085731987,21.35514176679328,2020-01-21,0.026732248799390845
21.549261713040462,21.55767990976418,21.76897714953807,21.368414526329374,2020-01-22,0.007769970683497718
21.525528811857093,21.534078861200136,21.75006383346272,21.345526859185647,2020-01-23,-0.02360104856404277
21.482555323017,21.493163958077016,21.70466792623764,21.301339641961206,2020-01-24,-0.04091490312312018
21.450143588742726,21.460677621980157,21.665664694356952,21.265354967110305,2020-01-25,-0.03248633609685925
21.445967739524406,21.448975192331886,21.65530913793685,21.253482320287755,2020-01-26,-0.011702429648270396
21.45694376011757,21.444924828762442,21.663001411710674,21.253404088034237,2020-01-27,-0.004050363569444215
21.449716393565488,21.42224186667325,21.654837604545527,21.23675321072807,2020-01-28,-0.02268296208919196
21.401310403837268,21.367144364089032,21.606220668617024,21.186538515438002,2020-01-29,-0.05509750258421775
21.32195514577785,21.293747761373407,21.526963223936033,21.114494385486765,2020-01-30,-0.07339660271562565
